前一节点,后一节点,线路名称,票价,区域属性,间距(km)
和园路,苏州农学院,虎丘专线,2,姑苏区,
苏州农学院,西园路东,虎丘专线,2,姑苏区,
西园路东,留园,虎丘专线,2,姑苏区,
留园,广济桥(石路),虎丘专线,2,姑苏区,
广济桥(石路),石路南,虎丘专线,2,姑苏区,
石路南,爱河桥,虎丘专线,2,姑苏区,
爱河桥,小日晖桥北,虎丘专线,2,姑苏区,
小日晖桥北,阊胥路,虎丘专线,2,姑苏区,
阊胥路,广济南路,虎丘专线,2,姑苏区,
广济南路,广济桥(石路),虎丘专线,2,姑苏区,
广济桥(石路),留园,虎丘专线,2,姑苏区,
留园,虎丘路新村(一号桥),虎丘专线,2,姑苏区,
虎丘路新村(一号桥),观景新村东,虎丘专线,2,姑苏区,
观景新村东,虎丘路,虎丘专线,2,姑苏区,
,,,,,
苏州站南广场公交枢纽,苏州市康复医院,406路,2,姑苏区,
苏州市康复医院,市立医院北区,406路,2,姑苏区,
市立医院北区,山塘街,406路,2,姑苏区,
山塘街,金阊实验小学,406路,2,姑苏区,
金阊实验小学,广济桥(石路),406路,2,姑苏区,
广济桥(石路),上津桥,406路,2,姑苏区,
上津桥,永津桥东,406路,2,姑苏区,
永津桥东,西园,406路,2,姑苏区,
西园,下津桥,406路,2,姑苏区,
下津桥,来凤桥,406路,2,姑苏区,
来凤桥,寒山寺南,406路,2,姑苏区,
寒山寺南,今日家园,406路,2,姑苏区,
今日家园,时代花园,406路,2,虎丘区,
时代花园,格林花园,406路,2,虎丘区,
格林花园,塔园路邓尉路北,406路,2,虎丘区,
塔园路邓尉路北,桃园度假村,406路,2,虎丘区,
桃园度假村,新地中心,406路,2,虎丘区,
新地中心,名馨花园东,406路,2,虎丘区,
名馨花园东,名馨花园,406路,2,虎丘区,
名馨花园,明基医院,406路,2,虎丘区,
明基医院,明基医院西,406路,2,虎丘区,
明基医院西,富士胶片,406路,2,虎丘区,
富士胶片,石城(招呼站),406路,2,虎丘区,
石城(招呼站),山水华庭,406路,2,虎丘区,
山水华庭,苏科大天平学院,406路,2,吴中区,
苏科大天平学院,静波桥,406路,2,吴中区,
静波桥,中山东路长江西路,406路,2,吴中区,
中山东路长江西路,中山东路枫瑞路,406路,2,吴中区,
中山东路枫瑞路,中山东路珠江路东,406路,2,吴中区,
中山东路珠江路东,金枫立交桥东,406路,2,吴中区,
金枫立交桥东,金枫立交西,406路,2,吴中区,
,,,,,
官渎里立交桥,苏安新村2,313路,2,姑苏区,
苏安新村2,向阳桥,313路,2,姑苏区,
向阳桥,娄门,313路,2,姑苏区,
娄门,北园新村北,313路,2,姑苏区,
北园新村北,北园路,313路,2,姑苏区,
北园路,齐门东,313路,2,姑苏区,
齐门东,齐门,313路,2,姑苏区,
齐门,拙政园苏博,313路,2,姑苏区,
拙政园苏博,苏州博物馆,313路,2,姑苏区,
苏州博物馆,市立医院东区,313路,2,姑苏区,
