前一节点,后一节点,线路名称,票价,区域属性,间距(km)
省经贸学校,石桥,73路,2,鼓楼区,
石桥,杨山路公交首末站,73路,2,鼓楼区,
,,,,,
人才家园公交首末站,汉源大道地铁站,78路,2,云龙区,
汉源大道地铁站,元和路,78路,2,云龙区,
元和路,行政中心地铁站,78路,2,云龙区,
行政中心地铁站,汉风路,78路,2,云龙区,
汉风路,太行路(秦郡路),78路,2,云龙区,
太行路(秦郡路),泊林公馆,78路,2,云龙区,
泊林公馆,环境检测中心,78路,2,云龙区,
环境检测中心,彭祖大道,78路,2,云龙区,
彭祖大道,拖龙山公园,78路,2,云龙区,
拖龙山公园,拖龙山地铁站,78路,2,云龙区,
拖龙山地铁站,淮海文博园,78路,2,云龙区,
淮海文博园,东盛汽车站,78路,2,泉山区,
东盛汽车站,七里沟,78路,2,泉山区,
七里沟,矿大北门,78路,2,泉山区,
矿大北门,大学城,78路,2,泉山区,
大学城,泰山汇景花园,78路,2,泉山区,
泰山汇景花园,孟庄公寓,78路,2,泉山区,
孟庄公寓,营房东门,78路,2,泉山区,
营房东门,营房西门(金山东路),78路,2,泉山区,
营房西门(金山东路),省财校,78路,2,泉山区,
省财校,金泰馨雅园,78路,2,泉山区,
金泰馨雅园,金山公园,78路,2,泉山区,
金山公园,云龙山索道,78路,2,泉山区,
云龙山索道,云龙湖旅游风景区,78路,2,泉山区,
云龙湖旅游风景区,云龙山隧道,78路,2,泉山区,
云龙山隧道,泉山医院,78路,2,泉山区,
泉山医院,吴庄小区,78路,2,泉山区,
吴庄小区,吴庄花园,78路,2,泉山区,
吴庄花园,矿总医院(明珠路),78路,2,泉山区,
矿总医院(明珠路),纺南小区北门,78路,2,泉山区,
纺南小区北门,湖滨路口(湖滨路),78路,2,泉山区,
湖滨路口(湖滨路),湖滨新村,78路,2,泉山区,
