前一节点,后一节点,线路名称,票价(元),间距(公里)
长乐南路,亚峰农贸市场,16路,1,
亚峰农贸市场,鳌峰大桥,16路,1,
鳌峰大桥,金融街万达广场,16路,1,
金融街万达广场,鳌峰亚兴路口,16路,1,
鳌峰亚兴路口,鱼池,16路,1,
鱼池,鳌峰公园,16路,1,
鳌峰公园,公交鳌峰洲站,16路,1,
公交鳌峰洲站,鳌峰公交总站,16路,1,
,,,,
埔党路口,山北东园,17路,1,
山北东园,居住主题公园,17路,1,
居住主题公园,山北井店,17路,1,
山北井店,解放溪,17路,1,
解放溪,秀山村,17路,1,
秀山村,地铁秀山站,17路,1,
地铁秀山站,高佳苑,17路,1,
高佳苑,郭前路口,17路,1,
郭前路口,新店镇政府,17路,1,
新店镇政府,电建二公司,17路,1,
电建二公司,华林高架,17路,1,
华林高架,湖塍,17路,1,
湖塍,洋下新村,17路,1,
洋下新村,东门村委,17路,1,
东门村委,塔头,17路,1,
塔头,福州锅炉厂原址,17路,1,
福州锅炉厂原址,东岳,17路,1,
东岳,福新支路,17路,1,
福新支路,长乐北路口,17路,1,
长乐北路口,乐西(东),17路,1,
乐西(东),讲堂前,17路,1,
讲堂前,世欧广场,17路,1,
世欧广场,象园街道,17路,1,
象园街道,市青少年活动中心,17路,1,
市青少年活动中心,福州市老年大学,17路,1,
福州市老年大学,长乐南路,17路,1,
长乐南路,亚峰农贸市场,17路,1,
亚峰农贸市场,龙福机电交易市场,17路,1,
龙福机电交易市场,高湖村,17路,1,
高湖村,盖山镇政府新村,17路,1,
盖山镇政府新村,则徐广场,17路,1,
则徐广场,白湖亭,17路,1,
,,,,
火车站南广场,茶园,18路,1,
茶园,电建二公司,18路,1,
电建二公司,省老年医院,18路,1,
省老年医院,省老干局,18路,1,
省老干局,省农科院,18路,1,
省农科院,屏东,18路,1,
屏东,屏山,18路,1,
屏山,省卫健委,18路,1,
省卫健委,鼓楼,18路,1,
鼓楼,省话剧院,18路,1,
省话剧院,福二中,18路,1,
福二中,乌山小学,18路,1,
乌山小学,小柳路南,18路,1,
小柳路南,乌山桥西,18路,1,
乌山桥西,市教院附中,18路,1,
市教院附中,菏泽,18路,1,
菏泽,省血液中心,18路,1,
省血液中心,福建海事局,18路,1,
福建海事局,东南眼科,18路,1,
东南眼科,江南水都中学,18路,1,
江南水都中学,燎原路,18路,1,
燎原路,联建村,18路,1,
联建村,福建生态工程学校(洋洽),18路,1,
福建生态工程学校(洋洽),省精神卫生中心,18路,1,
省精神卫生中心,市妇幼保健院,18路,1,
市妇幼保健院,福建神学院,18路,1,
福建神学院,时代华威中学,18路,1,
时代华威中学,福湾财贸服装城,18路,1,
福湾财贸服装城,育达学校,18路,1,
育达学校,国艺花鸟市场,18路,1,
国艺花鸟市场,山道,18路,1,
山道,盘屿中学,18路,1,
盘屿中学,齐安路,18路,1,
齐安路,利嘉汽配城,18路,1,
利嘉汽配城,仁山路利嘉国际商业城,18路,1,
,,,,
满洋新秀,中央公园,19路,1,
中央公园,满洋路,19路,1,
满洋路,象峰中心小学,19路,1,
象峰中心小学,五四北泰禾广场,19路,1,
五四北泰禾广场,秀山村,19路,1,
秀山村,地铁秀山站,19路,1,
地铁秀山站,高佳苑,19路,1,
高佳苑,三盛果岭,19路,1,
三盛果岭,稻田创业小镇,19路,1,
稻田创业小镇,省老年体育中心,19路,1,
省老年体育中心,南平东路口,19路,1,
南平东路口,浮村,19路,1,
浮村,湖前,19路,1,
湖前,魁炉头,19路,1,
魁炉头,源脉温泉,19路,1,
源脉温泉,龙腰,19路,1,
龙腰,北门,19路,1,
北门,屏山,19路,1,
屏山,省卫健委,19路,1,
省卫健委,鼓楼,19路,1,
鼓楼,东街口,19路,1,
东街口,蒙古营,19路,1,
蒙古营,龙华天桥,19路,1,
龙华天桥,正大广场,19路,1,
正大广场,状元境,19路,1,
状元境,汽车站,19路,1,
汽车站,安淡,19路,1,
安淡,省人民医院,19路,1,
省人民医院,文化宫,19路,1,
文化宫,中亭街,19路,1,
中亭街,青年广场,19路,1,
青年广场,蓬埕,19路,1,
蓬埕,帮洲,19路,1,
帮洲,长寿社,19路,1,
长寿社,尤溪洲(东)停车场,19路,1,
,,,,
火车站南广场,茶园,20路,1,
茶园,电建二公司,20路,1,
电建二公司,华林高架,20路,1,
