前一节点,后一节点,路线属性,票价(元),频率(分钟/趟)
云谷山兜,泉州农校,30路,1,30
泉州农校,云谷工业区,30路,1,30
云谷工业区,妙云街口,30路,1,30
妙云街口,客运中心站东门,30路,1,30
客运中心站东门,坪山路南段,30路,1,30
坪山路南段,宝洲花园,30路,1,30
宝洲花园,董埭路口,30路,1,30
董埭路口,东海街道办事处,30路,1,30
东海街道办事处,黎明大学,30路,1,30
黎明大学,宝珊花园,30路,1,30
宝珊花园,法坊路口,30路,1,30
法坊路口,霞露口,30路,1,30
霞露口,东海滨城,30路,1,30
东海滨城,医大二院东海院区,30路,1,30
医大二院东海院区,东海大街中段,30路,1,30
东海大街中段,东海大街东段,30路,1,30
东海大街东段,泉州师院,30路,1,30
泉州师院,东海大街口,30路,1,30
东海大街口,府西路,30路,1,30
府西路,泉州行政中心,30路,1,30
泉州行政中心,晋光小学东海校区,30路,1,30
晋光小学东海校区,海星小区,30路,1,30
,,,,
圣墓,凤山村,31路,2,20
凤山村,湖心街东段,31路,2,20
湖心街东段,湖心街中段,31路,2,20
湖心街中段,东湖菜市场,31路,2,20
东湖菜市场,水漈路口,31路,2,20
水漈路口,九一街,31路,2,20
九一街,打锡街,31路,2,20
打锡街,鲤城区政府,31路,2,20
鲤城区政府,新门菜市,31路,2,20
新门菜市,芳草园,31路,2,20
芳草园,新华桥,31路,2,20
新华桥,金山北区,31路,2,20
金山北区,新华南路,31路,2,20
新华南路,新华旱闸,31路,2,20
新华旱闸,金洲旱闸,31路,2,20
金洲旱闸,金洲寺,31路,2,20
金洲寺,临漳水闸,31路,2,20
