前一节点,后一节点,线路名称,票价,区域属性,间距(km)
嵩山路符家屯东路口,嵩山路,23路,1,涧西区,
嵩山路,嵩山路建设路口北,23路,1,涧西区,
嵩山路建设路口北,天津路建设路口,23路,1,涧西区,
,,,,,
南苑路南昌路口,南苑小区,30路,1,涧西区,
南苑小区,南昌路乐山路口北,30路,1,涧西区,
南昌路乐山路口北,南昌路丽春路口,30路,1,涧西区,
南昌路丽春路口,丽春路丽新路口,30路,1,涧西区,
丽春路丽新路口,丽新路九都西路口,30路,1,涧西区,
丽新路九都西路口,九都西路丽新路口东,30路,1,涧西区,
九都西路丽新路口东,九都西路珠江路口东,30路,1,涧西区,
九都西路珠江路口东,九都路上阳路口西,30路,1,涧西区,
九都路上阳路口西,涧东路行署路口,30路,1,西工区,
涧东路行署路口,涧东路凯旋西路口,30路,1,西工区,
涧东路凯旋西路口,凯旋西路爱民街口,30路,1,西工区,
凯旋西路爱民街口,凯旋西路芳林路口,30路,1,西工区,
凯旋西路芳林路口,纱厂南路凯旋西路口,30路,1,西工区,
纱厂南路凯旋西路口,纱厂南路中州中路口,30路,1,西工区,
纱厂南路中州中路口,唐宫西路纱厂南路口,30路,1,西工区,
唐宫西路纱厂南路口,唐宫西路解放路口,30路,1,西工区,
唐宫西路解放路口,唐宫西路八一路口,30路,1,西工区,
唐宫西路八一路口,唐宫中路影院街口,30路,1,西工区,
唐宫中路影院街口,唐宫中路嘉豫门大街口,30路,1,西工区,
唐宫中路嘉豫门大街口,唐宫中路宫隅路口,30路,1,西工区,
唐宫中路宫隅路口,唐宫东路定鼎大道口,30路,1,西工区,
唐宫东路定鼎大道口,唐宫东路三通巷口,30路,1,老城区,
唐宫东路三通巷口,唐宫东路承福门大街口西,30路,1,老城区,
唐宫东路承福门大街口西,唐宫东路承福门大街口东,30路,1,老城区,
唐宫东路承福门大街口东,唐宫东路建安街口,30路,1,老城区,
唐宫东路建安街口,北大街莲花寺街口,30路,1,老城区,
北大街莲花寺街口,北大街玄武门大街口,30路,1,老城区,
