前一节点,后一节点,线路名称,票价,区域属性,间距(km)
昆医附二院,春晖小区,K13路,2,五华区,
春晖小区,西园路口(茭菱路),K13路,2,五华区,
西园路口(茭菱路),丰宁小区,K13路,2,五华区,
丰宁小区,西苑立交北口,K13路,2,五华区,
西苑立交北口,省社科联(二环西路),K13路,2,五华区,
省社科联(二环西路),二环西路口(科医路),K13路,2,五华区,
二环西路口(科医路),科医路口(洪源路),K13路,2,五华区,
科医路口(洪源路),洪家营,K13路,2,五华区,
洪家营,高新区车场2,K13路,2,五华区,
高新区车场2,科锦路,K13路,2,五华区,
科锦路,假日城市小区(昌源中路),K13路,2,五华区,
假日城市小区(昌源中路),滇缅大道路口(昌源北路),K13路,2,五华区,
滇缅大道路口(昌源北路),科发路口(昌源北路),K13路,2,五华区,
科发路口(昌源北路),科园路口(科发路),K13路,2,五华区,
科园路口(科发路),科新路口(科园路),K13路,2,五华区,
科新路口(科园路),科开路口(科园路),K13路,2,五华区,
科开路口(科园路),海源北路口(科开路),K13路,2,五华区,
海源北路口(科开路),科开路口(科高路),K13路,2,五华区,
科开路口(科高路),商院路口(科高路),K13路,2,五华区,
商院路口(科高路),商院路口(海源北路),K13路,2,五华区,
商院路口(海源北路),丽阳星城小区(海源北路),K13路,2,五华区,
丽阳星城小区(海源北路),海源北路西口,K13路,2,五华区,
海源北路西口,海源寺北,K13路,2,五华区,
海源寺北,海源寺(西三环西),K13路,2,五华区,
海源寺(西三环西),海源寺车场,K13路,2,五华区,
,,,,,
端仕街口(庆云街),威远街口(护国路),56路,1,五华区,
威远街口(护国路),威远街,56路,1,五华区,
威远街,正义路步行街,56路,1,五华区,
正义路步行街,文庙(人民中路),56路,1,五华区,
文庙(人民中路),富春街口(人民中路),56路,1,五华区,
