节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
西站,五华区,56路,0,0
虹山南路口(滇缅大道),五华区,56路,0,0
昆医附二院,五华区,56路,1,1
春晖小区,五华区,56路,0,0
西园路口(茭菱路),五华区,56路,1,1
丰宁小区,五华区,56路,1,1
西苑立交北口,五华区,56路,0,0
省社科联(二环西路),五华区,56路,0,0
二环西路口(科医路),五华区,56路,0,0
洪源路口(科医路),五华区,56路,0,0
海源中路口(科光路),五华区,56路,0,0
昌源中路口(科光路),五华区,56路,0,0
团山后所,五华区,56路,0,0
科锦路,五华区,56路,1,1
高新区车场1,五华区,56路,0,2
澳霖公寓(海源中路),五华区,56路,1,2
海源中路口(滇缅大道),五华区,56路,0,2
昌源路口(滇缅大道),五华区,56路,1,1
假日城市小区(滇缅大道),五华区,56路,1,2
黑林铺(黑林铺前街),五华区,56路,1,2
昆富路,五华区,56路,1,1
班庄村口,五华区,56路,0,1
班庄村,五华区,56路,0,0
西环三路口(班庄村),五华区,56路,0,1
海源寺车场,五华区,56路,0,1
,,,,
正义路,五华区,120路,17,28
胜利广场,五华区,120路,17,28
如安街口(五一路),五华区,120路,13,27
龙井街口(五一路),五华区,120路,13,27
国防路,五华区,120路,1,13
弥勒寺(西坝路),五华区,120路,0,2
永乐路口(西坝路),西山区,120路,0,0
西坝路口(环城西路),西山区,120路,0,0
气象路口(环城西路),西山区,120路,0,0
滇池路口(环城西路),西山区,120路,0,0
昆明冠生园(严家地),西山区,120路,0,0
金牛小区,西山区,120路,0,0
老年活动中心,西山区,120路,0,0
福海乡2,西山区,120路,0,0
云检培训中心,西山区,120路,0,0
南苑,西山区,120路,0,0
杨家地(日新中路),西山区,120路,0,0
邬小村(陆家路),西山区,120路,0,0
湖畔之梦小区,西山区,120路,0,0
青青小镇(前卫西路),西山区,120路,0,0
前卫西路口(河宏路),西山区,120路,0,0
前福路口(河宏路),西山区,120路,0,0
拥金路口(河宏路),西山区,120路,0,0
前兴路公交枢纽站,西山区,120路,0,0
,,,,
潘家湾地铁站(小西门),五华区,65路,0,4
潘家湾(西昌路)1,五华区,65路,0,3
昆师路,五华区,65路,3,6
建设路2,五华区,65路,3,15
师范大学(西南联大博物馆),五华区,65路,3,13
一二一大街,五华区,65路,3,11
民院路,五华区,65路,1,5
莲花池,五华区,65路,1,1
教场路口(学府路),五华区,65路,1,1
教场西路口(教场中路),五华区,65路,0,0
教场中路,五华区,65路,0,0
教场北路口,五华区,65路,0,0
巴士家园,五华区,65路,0,0
,,,,
东寺街南口,五华区,玉带河,3,6
东寺街(玉带河)(桥),五华区,玉带河,3,6
柿花桥,五华区,玉带河,2,6
西寺巷(桥),五华区,玉带河,4,8
